TOTAL_EMPTY_HOUSES,POP_DENS_sqkm,LOW_INCOME_PERC,LOWMOD_INCOME_PERC,WHITE_POP_PERC,BLACK_POP_PERC,O18_POP_PERC,IS_HOTSPOT
60,9574.31,0.12,0.15,0.60,0.28,0.84,0
101,6611.97,0.61,0.66,0.03,0.88,0.76,0
52,7043.35,0.19,0.24,0.38,0.40,0.89,0
21,10655.85,0.07,0.15,0.66,0.21,0.75,0
81,4803.91,0.17,0.19,0.60,0.25,0.83,0
65,6718.38,0.16,0.27,0.69,0.18,0.78,0
33,11378.08,0.05,0.10,0.77,0.07,0.82,0
62,11348.42,0.08,0.23,0.76,0.10,0.81,0
68,9815.87,0.13,0.26,0.81,0.05,0.85,0
69,9429.69,0.08,0.15,0.83,0.05,0.84,0
109,9199.96,0.25,0.41,0.81,0.05,0.90,0
34,9495.41,0.11,0.15,0.78,0.05,0.85,0
74,5416.43,0.04,0.08,0.74,0.13,0.93,0
104,14273.32,0.08,0.14,0.73,0.13,0.88,0
44,7455.79,0.08,0.13,0.70,0.09,0.83,0
56,11000.18,0.12,0.22,0.74,0.09,0.80,0
68,11621.95,0.04,0.13,0.71,0.15,0.88,0
20,12282.09,0.00,0.08,0.67,0.20,0.85,0
63,8640.37,0.11,0.22,0.66,0.21,0.84,0
45,3125.78,0.39,0.41,0.03,0.89,0.82,0
47,5436.75,0.74,0.98,0.02,0.93,0.75,0
44,7736.72,1.00,1.00,0.01,0.95,0.70,0
83,9850.51,1.00,1.00,0.01,0.95,0.71,0
490,9214.61,0.27,0.40,0.51,0.37,0.88,0
132,8380.46,0.18,0.30,0.48,0.35,0.83,0
237,5363.88,0.21,0.29,0.40,0.42,0.88,0
29,1797.18,0.31,0.56,0.06,0.82,0.82,0
35,3589.90,0.44,0.56,0.13,0.68,0.83,0
14,1668.40,0.21,0.35,0.18,0.71,0.80,0
25,3290.72,0.28,0.60,0.25,0.60,0.81,0
63,10796.56,0.41,1.00,0.17,0.67,0.84,0
90,9236.41,0.46,0.49,0.32,0.54,0.89,0
